1,pokemon,bulbasaur
2,pokemon,ivysaur
3,pokemon,venusaur
4,pokemon,VenusaurMega Venusaur
5,pokemon,Charmander
6,pokemon,Charmeleon
7,pokemon,Charizard
8,pokemon,CharizardMega Charizard X
9,pokemon,CharizardMega Charizard Y
10,pokemon,Squirtle
11,pokemon,Wartortle
12,pokemon,Blastoise
13,pokemon,BlastoiseMega Blastoise
14,pokemon,Caterpie
15,pokemon,Metapod
16,pokemon,Butterfree
17,pokemon,Weedle
18,pokemon,Kakuna
19,pokemon,Beedrill
20,pokemon,BeedrillMega Beedrill
21,pokemon,Pidgey
22,pokemon,Pidgeotto
23,pokemon,Pidgeot
24,pokemon,PidgeotMega Pidgeot
25,pokemon,Rattata
26,pokemon,Raticate
27,pokemon,Spearow
28,pokemon,Fearow
29,pokemon,Ekans
30,pokemon,Arbok
31,pokemon,Pikachu
32,pokemon,Raichu
33,pokemon,Sandshrew
34,pokemon,Sandslash
35,pokemon,Nidoran♀
36,pokemon,Nidorina
37,pokemon,Nidoqueen
38,pokemon,Nidoran♂
39,pokemon,Nidorino
40,pokemon,Nidoking
41,pokemon,Clefairy
42,pokemon,Clefable
43,pokemon,Vulpix
44,pokemon,Ninetales
45,pokemon,Jigglypuff
46,pokemon,Wigglytuff
47,pokemon,Zubat
48,pokemon,Golbat
49,pokemon,Oddish
50,pokemon,Gloom
